Spec Name,Km,K1,K2,K3,L,F,P,Pj,T,dK1geo,iK1geo,dK2geo,iK2geo,dK3geo,iK3geo,dK1pa1,iK1pa1,dK2pa1,iK2pa1,dK3pa1,iK3pa1,dK1te1,iK1te1,dK2te1,iK2te1,dK3te1,iK3te1,f1,dF1-B,iF1-B,dL1-B,iL1-B
NXH36-A,2.17E-03,2.18E-03,2.18E-03,2.16E-03,1.002,1.007,1.008,1.009,0.586,236.4,37.1,114.9,34.6,357.1,34,216.1,5.4,306.6,5.3,80.4,82.4,306.1,5.4,36.6,5.3,170.4,82.4,7.6,168,56,0,0
NXH36-B,2.01E-03,2.02E-03,2.02E-03,2.00E-03,1.002,1.01,1.012,1.013,0.695,91.3,12.6,207,62.7,355.7,23.8,275.9,3.7,185.1,11.6,23.3,77.8,5.9,3.7,275.1,11.6,113.3,77.8,12.2,168,56,0,0
NXH36-C,2.10E-03,2.11E-03,2.11E-03,2.09E-03,1.002,1.007,1.009,1.009,0.471,236,20.8,125.5,42.6,344.7,40.1,48.5,5.2,318.1,4.1,190,83.3,138.5,5.2,48.1,4.1,280,83.3,6.7,168,56,0,0
NXH36-D,2.04E-03,2.05E-03,2.05E-03,2.03E-03,1.003,1.01,1.013,1.013,0.482,107.3,33.9,235.5,42.6,355.8,28.7,301.7,1.4,211.4,8.4,41.3,81.5,31.7,1.4,301.4,8.4,131.3,81.5,8.5,168,56,0,0
NXH37-A,4.10E-03,4.16E-03,4.12E-03,4.03E-03,1.008,1.023,1.031,1.032,0.495,215.4,14.2,316.7,37.7,108.6,48.8,222.5,10.3,313.7,6.5,75.4,77.8,312.5,10.3,43.7,6.5,165.4,77.8,12.2,302,32,0,0
NXH37-B,4.14E-03,4.20E-03,4.17E-03,4.05E-03,1.006,1.029,1.035,1.038,0.66,208.6,12,307.2,35.1,102.6,52.3,215.6,12,306.3,3.2,50.9,77.6,305.6,12,36.3,3.2,140.9,77.6,12.4,302,32,0,0
NXH38-A,3.82E-03,3.88E-03,3.85E-03,3.74E-03,1.008,1.03,1.038,1.04,0.593,225,23.9,325.4,22.2,93.3,56.4,235.6,13.6,143.8,7.4,25.8,74.5,325.6,13.6,233.8,7.4,115.8,74.5,15.5,302,32,0,0
NXH38-B,3.75E-03,3.81E-03,3.77E-03,3.66E-03,1.012,1.029,1.042,1.043,0.405,229.1,30.3,331.3,20,89.5,52.5,242.3,17.1,149.7,8.3,34.8,70.9,332.3,17.1,239.7,8.3,124.8,70.9,19.1,302,32,0,0
NXH38-C,3.52E-03,3.58E-03,3.55E-03,3.44E-03,1.01,1.03,1.039,1.041,0.509,223.5,27.1,325.7,22.3,89.5,53.6,236.2,17,144,7.3,31.7,71.4,326.2,17,234,7.3,121.7,71.4,18.6,302,32,0,0
NXH39-A,3.70E-03,3.75E-03,3.73E-03,3.63E-03,1.006,1.028,1.035,1.037,0.624,215.2,24,322.2,33.3,96.8,46.9,227.8,18.5,318.8,2.9,57.3,71.2,317.8,18.5,48.8,2.9,147.3,71.2,18.8,302,32,0,0
NXH39-B,3.65E-03,3.70E-03,3.67E-03,3.58E-03,1.009,1.024,1.034,1.035,0.444,220.6,22,325.3,32.2,102.5,49.3,231,14.2,321.6,2.3,60.6,75.7,321,14.2,51.6,2.3,150.6,75.7,14.3,302,32,0,0
NXH39-C,3.50E-03,3.55E-03,3.52E-03,3.44E-03,1.009,1.024,1.033,1.034,0.475,215.7,25.7,322.6,31.2,94,47.6,229.2,19.6,319.5,0.8,51.9,70.3,319.2,19.6,49.5,0.8,141.9,70.3,19.7,302,32,0,0
NXH41-A,1.66E-03,1.67E-03,1.66E-03,1.64E-03,1.011,1.01,1.021,1.021,-0.039,200.3,17.3,299.8,27.7,82.2,56.4,203.6,3.7,294.3,11.6,96.1,77.8,293.6,3.7,24.3,11.6,186.1,77.8,12.2,254,22,0,0
NXH41-B,1.36E-03,1.37E-03,1.36E-03,1.34E-03,1.006,1.016,1.022,1.023,0.453,186.7,16.3,284.7,25.3,67.2,59.3,190.9,7,281.6,6,51.9,80.8,280.9,7,11.6,6,141.9,80.8,9.2,254,22,0,0
NXH41-C,1.36E-03,1.37E-03,1.36E-03,1.35E-03,1.009,1.012,1.021,1.021,0.149,197,22.5,301.2,30.6,76.9,50.5,202.2,9.5,294.7,14.6,80.2,72.4,292.2,9.5,24.7,14.6,170.2,72.4,17.6,254,22,0,0
NXH41-D,1.31E-03,1.32E-03,1.31E-03,1.29E-03,1.011,1.014,1.025,1.025,0.11,169.2,11.4,268.7,39.3,66,48.4,173.1,8.7,265.9,17.9,58.4,70,263.1,8.7,355.9,17.9,148.4,70,20,254,22,0,0
NXH42-A,1.62E-03,1.64E-03,1.62E-03,1.59E-03,1.01,1.018,1.028,1.029,0.3,37,1.4,306.3,24.4,130.1,65.5,34.5,18.8,301.1,10.1,184.2,68.5,124.5,18.8,31.1,10.1,274.2,68.5,21.5,254,22,0,0
NXH42-B,1.56E-03,1.58E-03,1.57E-03,1.53E-03,1.009,1.022,1.032,1.033,0.426,29.9,2.5,298.9,20,126.6,69.8,27,18,295.7,3.9,193.8,71.6,117,18,25.7,3.9,283.8,71.6,18.4,254,22,0,0
NXH42-C,1.63E-03,1.64E-03,1.63E-03,1.60E-03,1.006,1.017,1.024,1.025,0.473,31.9,5.3,300.5,14.4,141.5,74.6,28.2,21.2,118.6,1.1,211.5,68.7,118.2,21.2,208.6,1.1,301.5,68.7,21.3,254,22,0,0
NXH45-A,2.61E-03,2.66E-03,2.63E-03,2.55E-03,1.009,1.035,1.044,1.047,0.597,128,10.9,221.2,16.1,5.3,70.4,130.6,3.9,40.4,3.5,268.3,84.7,220.6,3.9,130.4,3.5,358.3,84.7,5.3,200,21,0,0
NXH45-B,2.57E-03,2.62E-03,2.60E-03,2.51E-03,1.009,1.035,1.045,1.047,0.571,134.5,7.4,226.1,12.7,15,75.2,315.5,1.6,45.6,6.2,211.4,83.6,45.5,1.6,135.6,6.2,301.4,83.6,6.4,200,21,0,0
NXH45-C,2.64E-03,2.69E-03,2.66E-03,2.57E-03,1.009,1.035,1.045,1.047,0.594,130.5,11.7,224.4,18.2,9.4,68.2,133.2,3.8,43.2,1.1,297.1,86,223.2,3.8,133.2,1.1,27.1,86,4,200,21,0,0
NXH46-A,2.37E-03,2.42E-03,2.40E-03,2.28E-03,1.007,1.053,1.06,1.066,0.774,180,0.8,270.1,4.2,80,85.7,359.8,4.2,90.1,4.4,226.1,83.9,89.8,4.2,180.1,4.4,316.1,83.9,6.1,240,10,0,0
NXH46-B,2.23E-03,2.27E-03,2.26E-03,2.15E-03,1.006,1.052,1.059,1.065,0.79,189.9,5.1,280.2,3.9,47.5,83.6,10.1,1.3,100.2,3.7,260.6,86,100.1,1.3,190.2,3.7,350.6,86,4,240,10,0,0
NXH46-C,2.33E-03,2.38E-03,2.36E-03,2.24E-03,1.01,1.051,1.062,1.066,0.671,195.8,2,286,5,83.6,84.6,15.6,5.1,105.8,2,216.9,84.5,105.6,5.1,195.8,2,306.9,84.5,5.5,240,10,0,0
NXH47-A,1.59E-03,1.64E-03,1.60E-03,1.54E-03,1.02,1.041,1.061,1.062,0.338,187.8,1.8,278.5,19.8,92.8,70.1,7.6,4.3,276.7,11.9,117.2,77.3,97.6,4.3,6.7,11.9,207.2,77.3,12.7,240,10,0,0
NXH47-B,1.81E-03,1.85E-03,1.82E-03,1.76E-03,1.018,1.032,1.051,1.052,0.281,8.7,4.6,277.1,19,111.8,70.4,7.6,10.8,275.5,11,141.2,74.5,97.6,10.8,5.5,11,231.2,74.5,15.5,240,10,0,0
NXH47-C,1.78E-03,1.82E-03,1.79E-03,1.72E-03,1.013,1.043,1.057,1.06,0.521,9.3,7.4,276.8,18.4,120.3,70,7.8,13.7,275.3,10.3,149.3,72.7,97.8,13.7,5.3,10.3,239.3,72.7,17.3,240,10,0,0
NXH48-A,2.41E-03,2.43E-03,2.43E-03,2.38E-03,1.004,1.021,1.025,1.027,0.696,161.5,7.7,252.6,8.5,29.9,78.5,162.6,5.6,72.5,1.3,329.7,84.3,252.6,5.6,162.5,1.3,59.7,84.3,5.7,240,10,0,0
NXH48-B,2.27E-03,2.29E-03,2.28E-03,2.24E-03,1.002,1.021,1.023,1.025,0.837,195.4,15,286.8,5.2,35.6,74.1,196.8,7.8,106.6,1.6,4.8,82.1,286.8,7.8,196.6,1.6,94.8,82.1,7.9,240,10,0,0
NXH48-C,2.40E-03,2.42E-03,2.41E-03,2.37E-03,1.004,1.018,1.022,1.023,0.619,177.7,13.5,269.7,8.4,30.6,74,179.4,8.7,89.3,0.3,357.1,81.2,269.4,8.7,179.3,0.3,87.1,81.2,8.8,240,10,0,0
NXH49-A,2.34E-03,2.36E-03,2.35E-03,2.29E-03,1.005,1.025,1.029,1.032,0.668,39.3,11.5,298.5,42.5,141.1,45.3,216.2,5.4,125.2,10.1,334.2,78.5,306.2,5.4,215.2,10.1,64.2,78.5,11.5,324,56,0,0
NXH49-B,2.33E-03,2.35E-03,2.34E-03,2.29E-03,1.003,1.021,1.025,1.027,0.716,51.4,1,320.2,49.1,142.2,40.9,231.7,1.6,141.5,6.9,334.9,82.9,321.7,1.6,231.5,6.9,64.9,82.9,7.1,324,56,0,0
NXH49-C,2.44E-03,2.46E-03,2.45E-03,2.41E-03,1.004,1.02,1.024,1.026,0.691,30.8,20.1,282.7,40.4,140.6,42.8,204.4,6.6,113.6,6.4,340,80.8,294.4,6.6,203.6,6.4,70,80.8,9.2,324,56,0,0
NXH50-A,2.06E-03,2.07E-03,2.07E-03,2.04E-03,1.003,1.015,1.018,1.019,0.638,205.5,25.7,107.4,16.3,348.4,58.8,126,56,298.1,33.7,30.5,3.7,216,56,28.1,33.7,120.5,3.7,86.3,60,75,0,0
NXH50-B,2.06E-03,2.08E-03,2.07E-03,2.04E-03,1.002,1.016,1.018,1.02,0.762,189.8,31.1,282.4,4.3,19.4,58.5,121.5,41.5,320,46.9,219.9,9.4,211.5,41.5,50,46.9,309.9,9.4,80.6,60,75,0,0
NXH50-C,2.26E-03,2.28E-03,2.27E-03,2.23E-03,1.004,1.017,1.021,1.022,0.58,236.2,23.2,136.3,21.8,7.9,57.2,83.1,81,305.3,6.7,214.6,6,173.1,81,35.3,6.7,304.6,6,84,60,75,0,0
NXH52-A,2.48E-03,2.52E-03,2.50E-03,2.43E-03,1.006,1.032,1.038,1.041,0.691,188.7,6,281.9,27.7,87.6,61.5,193,15.5,284.5,5.3,32.7,73.5,283,15.5,14.5,5.3,122.7,73.5,16.5,304,24,0,0
NXH52-B,2.61E-03,2.65E-03,2.63E-03,2.56E-03,1.008,1.03,1.039,1.041,0.556,0.9,12.1,262.9,33.2,108.1,54.1,179.1,1.5,269.4,14.1,83.1,75.8,269.1,1.5,359.4,14.1,173.1,75.8,14.2,304,24,0,0
NXH52-C,2.54E-03,2.57E-03,2.56E-03,2.50E-03,1.005,1.025,1.029,1.032,0.685,17.8,4.1,285.5,29.4,115,60.2,197.6,2.8,287.9,6.5,84.6,82.9,287.6,2.8,17.9,6.5,174.6,82.9,7.1,304,24,0,0
NXH53-A,2.36E-03,2.39E-03,2.37E-03,2.34E-03,1.008,1.012,1.021,1.021,0.196,11.2,2.2,280.3,21.3,106.9,68.6,191.8,5.5,101.7,1.5,356.8,84.3,281.8,5.5,191.7,1.5,86.8,84.3,5.7,300,24,0,0
NXH53-B,2.63E-03,2.66E-03,2.64E-03,2.60E-03,1.008,1.014,1.022,1.022,0.261,6.3,7.6,273.7,18.9,117.4,69.5,185.3,2.3,95.2,2.8,314.6,86.4,275.3,2.3,185.2,2.8,44.6,86.4,3.6,300,24,0,0
NXH53-C,2.59E-03,2.62E-03,2.60E-03,2.57E-03,1.007,1.013,1.021,1.021,0.282,3.3,2.6,272.5,16.3,101.9,73.5,184.4,8.2,93.6,5.1,331.8,80.3,274.4,8.2,183.6,5.1,61.8,80.3,9.7,300,24,0,0
NXH54-A,2.24E-03,2.26E-03,2.24E-03,2.22E-03,1.007,1.01,1.018,1.018,0.174,188.4,1.8,98.2,6,294.7,83.8,8.4,1.4,278.4,0.3,176.5,88.6,98.4,1.4,8.4,0.3,266.5,88.6,1.4,125,7,0,0
NXH54-B,2.20E-03,2.22E-03,2.20E-03,2.19E-03,1.007,1.009,1.016,1.016,0.124,210.7,1.2,120.7,4.1,317,85.7,210.6,0.7,300.7,2.8,107.2,87.1,300.6,0.7,30.7,2.8,197.2,87.1,2.9,125,7,0,0
NXH54-C,2.20E-03,2.21E-03,2.20E-03,2.18E-03,1.007,1.011,1.018,1.018,0.245,34.4,4.3,304,4.2,169.8,84,34.9,4.4,304,11.2,145.8,77.9,124.9,4.4,34,11.2,235.8,77.9,12.1,125,7,0,0
NXH51-A,3.09E-03,3.13E-03,3.12E-03,3.02E-03,1.004,1.032,1.037,1.04,0.758,13.1,9,280.4,16.4,130.9,71.2,191.3,0,101.3,5.7,281.3,84.3,281.3,0,191.3,5.7,11.3,84.3,5.7,304,24,0,0
NXH51-B,3.00E-03,3.04E-03,3.03E-03,2.93E-03,1.003,1.034,1.038,1.042,0.818,21.6,7.8,288.7,20,132,68.4,19.5,2.2,109.6,3.3,255.9,86.1,109.5,2.2,199.6,3.3,345.9,86.1,3.9,304,24,0,0
NXH51-C,3.00E-03,3.03E-03,3.02E-03,2.96E-03,1.004,1.02,1.024,1.026,0.628,19.4,7.3,286.9,18.9,129.7,69.7,17.7,0.9,107.8,4.2,276,85.8,107.7,0.9,197.8,4.2,6,85.8,4.2,304,24,0,0
NXH56-A,3.41E-03,3.43E-03,3.42E-03,3.37E-03,1.003,1.017,1.02,1.021,0.681,217.9,5.8,310.1,20.7,112.9,68.4,217.1,6.1,310.3,27.6,115.7,61.6,307.1,6.1,40.3,27.6,205.7,61.6,28.4,125,7,0,0
NXH56-B,3.57E-03,3.60E-03,3.58E-03,3.54E-03,1.005,1.014,1.019,1.019,0.508,29.3,0.4,299.1,16.2,120.8,73.8,29.4,1.1,298.9,23.2,122,66.8,119.4,1.1,28.9,23.2,212,66.8,23.2,125,7,0,0
NXH56-C,3.62E-03,3.66E-03,3.64E-03,3.57E-03,1.005,1.02,1.025,1.026,0.575,203.8,6,295.1,12.7,88.9,75.9,203.1,4.6,294.8,19.6,100.4,69.8,293.1,4.6,24.8,19.6,190.4,69.8,20.2,125,7,0,0
NXH56-D,3.63E-03,3.66E-03,3.65E-03,3.58E-03,1.004,1.02,1.023,1.025,0.671,202.7,3.6,293.6,15.1,99.6,74.5,202.3,2.1,293.2,22,107.1,67.9,292.3,2.1,23.2,22,197.1,67.9,22.1,125,7,0,0
NXH57-A,2.82E-03,2.86E-03,2.84E-03,2.76E-03,1.009,1.028,1.037,1.038,0.509,25.8,40.1,143.4,28.8,257.4,36.4,44.6,17.8,135.2,1.8,230.6,72.1,134.6,17.8,225.2,1.8,320.6,72.1,17.9,92,39,0,0
NXH57-B,2.66E-03,2.70E-03,2.69E-03,2.61E-03,1.003,1.031,1.034,1.037,0.833,4.2,29.3,125.6,43,252.8,33,22.9,21,116.2,8.4,226.7,67.2,112.9,21,206.2,8.4,316.7,67.2,22.8,92,39,0,0
NXH57-C,2.46E-03,2.49E-03,2.48E-03,2.41E-03,1.003,1.03,1.034,1.037,0.792,25.7,40.8,144.8,29.4,258.2,35.2,45.1,18.4,136,2.8,234.4,71.4,135.1,18.4,226,2.8,324.4,71.4,18.6,92,39,0,0
NXH57-D,2.64E-03,2.67E-03,2.66E-03,2.60E-03,1.005,1.023,1.028,1.03,0.618,11.7,32.9,130.9,36.9,253.8,35.9,30.7,19.4,122.2,4.3,224.2,70,120.7,19.4,212.2,4.3,314.2,70,20,92,39,0,0
NXH57-E,2.58E-03,2.61E-03,2.60E-03,2.53E-03,1.003,1.027,1.03,1.033,0.78,38.8,46.4,148.1,17.5,252.6,38.4,56.6,17.6,324.7,5.8,217.1,71.4,146.6,17.6,54.7,5.8,307.1,71.4,18.6,92,39,0,0
NXH58-A,3.01E-03,3.04E-03,3.03E-03,2.97E-03,1.001,1.021,1.023,1.026,0.875,29.5,13,132,43,286.5,44.1,212.2,6.6,122.1,0.3,29.6,83.4,302.2,6.6,212.1,0.3,119.6,83.4,6.6,98,48,0,0
NXH58-B,2.69E-03,2.71E-03,2.71E-03,2.64E-03,1.002,1.025,1.027,1.03,0.841,36.9,25.9,153.1,42.3,285.7,36.7,226,1.8,135.8,7.8,328.7,82,316,1.8,225.8,7.8,58.7,82,8,98,48,0,0
NXH58-C,2.63E-03,2.65E-03,2.64E-03,2.59E-03,1.006,1.018,1.024,1.025,0.479,31.4,33.2,150.5,36.6,273.1,35.9,47.4,6.9,137.6,2.1,244.2,82.8,137.4,6.9,227.6,2.1,334.2,82.8,7.2,98,48,0,0
NXH59-A,2.54E-03,2.56E-03,2.54E-03,2.52E-03,1.007,1.011,1.019,1.019,0.188,45.1,23.6,152.7,34.6,288.3,46,232.5,2.5,142.5,0.5,40,87.5,322.5,2.5,232.5,0.5,130,87.5,2.5,105,45,0,0
NXH59-B,2.46E-03,2.48E-03,2.47E-03,2.44E-03,1.001,1.013,1.015,1.016,0.806,52.8,24.8,158.2,30,290.3,49.3,238.8,5.5,328.9,0.7,66.5,84.4,328.8,5.5,58.9,0.7,156.5,84.4,5.6,105,45,0,0
NXH59-C,2.49E-03,2.50E-03,2.49E-03,2.47E-03,1.005,1.009,1.014,1.014,0.272,48.3,30.4,155.1,26.3,278.1,47.8,58.8,1.3,328.7,5.4,162.4,84.5,148.8,1.3,58.7,5.4,252.4,84.5,5.5,105,45,0,0
NXH60-A,1.92E-03,1.94E-03,1.92E-03,1.90E-03,1.007,1.011,1.018,1.019,0.195,38,42.6,175,38.5,284.9,23.2,56.7,5.8,148.3,16,307.5,72.9,146.7,5.8,238.3,16,37.5,72.9,17.1,95,52,0,0
NXH60-B,2.39E-03,2.40E-03,2.40E-03,2.37E-03,1.002,1.011,1.013,1.014,0.651,52.2,43.4,161.8,19.5,269.2,40.2,65.4,0.2,335.4,5,157.2,85,155.4,0.2,65.4,5,247.2,85,5,95,52,0,0
NXH60-C,2.32E-03,2.33E-03,2.33E-03,2.30E-03,1.001,1.014,1.015,1.016,0.829,37.8,22.3,144.3,34.7,281.9,46.8,223,9.3,313.6,4.1,67.2,79.8,313,9.3,43.6,4.1,157.2,79.8,10.2,95,52,0,0
NXH61-A,2.29E-03,2.32E-03,2.31E-03,2.25E-03,1.006,1.023,1.03,1.031,0.584,66.4,21,275.3,66.3,160.4,10.5,35.9,23.8,302.7,7.1,197.3,65,125.9,23.8,32.7,7.1,287.3,65,25,319,65,0,0
NXH61-B,2.06E-03,2.08E-03,2.07E-03,2.03E-03,1.006,1.02,1.026,1.027,0.55,57.1,18,276.9,67.1,151.7,13.7,35.7,14.6,303.7,7.3,187.9,73.6,125.7,14.6,33.7,7.3,277.9,73.6,16.4,319,65,0,0
NXH63-A,1.64E-03,1.64E-03,1.64E-03,1.63E-03,1.002,1.006,1.008,1.008,0.539,40.3,24,262.4,59,138.8,18.4,208.1,7.8,117.8,2.2,12.1,81.9,298.1,7.8,207.8,2.2,102.1,81.9,8.1,325,77,0,0
NXH63-B,1.73E-03,1.73E-03,1.73E-03,1.72E-03,1.005,1.002,1.007,1.007,-0.399,41.5,52.1,216.6,37.8,308.5,2.4,1.7,2.2,270.8,22.4,96.9,67.5,91.7,2.2,0.8,22.4,186.9,67.5,22.5,325,77,0,0
NXH63-C,1.78E-03,1.78E-03,1.78E-03,1.77E-03,1.002,1.007,1.008,1.009,0.585,39.8,10.6,273.7,72.4,132.5,13.9,221,12.1,311.4,1.7,49.4,77.8,311,12.1,41.4,1.7,139.4,77.8,12.2,325,77,0,0
NXH65-A,1.95E-03,1.98E-03,1.96E-03,1.92E-03,1.012,1.022,1.034,1.035,0.27,24.9,10.4,279.2,55.9,121.5,32.1,169.4,57.2,29.1,26.4,289.8,18.1,259.4,57.2,119.1,26.4,19.8,18.1,71.9,55,87,0,0
NXH65-B,2.22E-03,2.25E-03,2.23E-03,2.17E-03,1.007,1.026,1.033,1.035,0.563,213.7,1.6,306.1,56.5,122.7,33.5,148.4,68.7,22.6,12.8,288.7,16.7,238.4,68.7,112.6,12.8,18.7,16.7,73.3,55,87,0,0
NXH65-C,2.14E-03,2.17E-03,2.15E-03,2.10E-03,1.011,1.024,1.036,1.037,0.356,207.7,1.3,299.9,59.1,116.9,30.9,147.9,62.7,26.2,15.2,289.8,22.1,237.9,62.7,116.2,15.2,19.8,22.1,67.9,55,87,0,0
NXH65-D,2.34E-03,2.37E-03,2.35E-03,2.29E-03,1.009,1.027,1.036,1.038,0.478,32.5,4.4,295.8,56.3,125.4,33.3,163.2,66.3,24.4,18.3,289.4,14.5,253.2,66.3,114.4,18.3,19.4,14.5,75.5,55,87,0,0
NXH66-A,1.84E-03,1.88E-03,1.86E-03,1.79E-03,1.013,1.041,1.055,1.057,0.5,202.7,6.7,305.6,62.2,109.3,26.8,166.5,44.5,40.7,30.7,290.8,29.9,256.5,44.5,130.7,30.7,20.8,29.9,60.1,68,72,0,0
NXH66-B,1.95E-03,1.99E-03,1.97E-03,1.90E-03,1.01,1.037,1.047,1.05,0.559,202.5,0.7,293.7,58.9,112.1,31.1,174.1,42.1,40.2,37.5,289.2,25.1,264.1,42.1,130.2,37.5,19.2,25.1,64.9,68,72,0,0
NXH66-C,1.75E-03,1.78E-03,1.77E-03,1.71E-03,1.011,1.035,1.047,1.049,0.512,205.6,3.6,301.6,59.3,113.5,30.5,172.1,46.1,38.4,33.6,290.6,24.7,262.1,46.1,128.4,33.6,20.6,24.7,65.3,68,72,0,0
NXH67-A,1.95E-03,1.97E-03,1.95E-03,1.92E-03,1.008,1.02,1.028,1.029,0.414,22.7,4.5,285.6,57.2,115.6,32.4,164,59.1,21.7,25.3,283.7,16.5,254,59.1,111.7,25.3,13.7,16.5,73.5,51,82,0,0
NXH67-B,2.24E-03,2.28E-03,2.25E-03,2.20E-03,1.01,1.024,1.034,1.035,0.388,198.5,3,294.4,63.3,107,26.5,148,57.3,25.9,18.8,286.4,25.7,238,57.3,115.9,18.8,16.4,25.7,64.3,51,82,0,0
NXH67-C,1.74E-03,1.76E-03,1.75E-03,1.70E-03,1.009,1.025,1.034,1.036,0.462,203.6,9.3,310.1,60.1,108.5,28.2,136.2,62.8,20.9,12.4,285.3,23.8,226.2,62.8,110.9,12.4,15.3,23.8,66.2,51,82,0,0
NXH70-A,3.28E-03,3.34E-03,3.29E-03,3.20E-03,1.014,1.03,1.044,1.045,0.356,152.4,4.1,249.9,61.6,60.2,28.1,151.2,23.5,284.2,57.5,51.6,21.1,241.2,23.5,14.2,57.5,141.6,21.1,68.9,346,20,0,0
NXH74-A,2.85E-03,2.92E-03,2.88E-03,2.76E-03,1.015,1.043,1.058,1.061,0.49,55.7,0.6,325.4,28.5,146.7,61.5,236.7,6.3,327.7,9.6,114,78.5,326.7,6.3,57.7,9.6,204,78.5,11.5,346,20,0,0
NXH74-B,3.18E-03,3.24E-03,3.18E-03,3.10E-03,1.017,1.025,1.043,1.043,0.193,56.2,5.5,324,21.9,159.5,67.3,235.5,1.5,325.6,3.3,121.6,86.4,325.5,1.5,55.6,3.3,211.6,86.4,3.6,346,20,0,0
NXH74-C,3.30E-03,3.36E-03,3.31E-03,3.22E-03,1.015,1.029,1.045,1.045,0.299,53,4.2,321.2,22.9,152.7,66.7,232.9,3.7,323.2,4.6,104,84.1,322.9,3.7,53.2,4.6,194,84.1,5.9,346,20,0,0
NXH74-D,3.10E-03,3.15E-03,3.11E-03,3.03E-03,1.014,1.026,1.041,1.041,0.284,60,0.5,329.8,22.2,151.2,67.8,240.7,5,331,3,91.6,84.2,330.7,5,61,3,181.6,84.2,5.8,346,20,0,0
NXH75-A,2.22E-03,2.23E-03,2.23E-03,2.20E-03,1.002,1.015,1.017,1.018,0.761,67.6,59.9,198.2,20.7,296.5,20.9,39.7,52,204.7,37.1,300.2,7.3,129.7,52,294.7,37.1,30.2,7.3,82.7,346,20,0,0
NXH75-B,2.50E-03,2.52E-03,2.51E-03,2.48E-03,1.002,1.012,1.014,1.015,0.677,41.1,26.8,162.6,46,292.8,31.9,35.1,14.4,160.3,65.9,300.1,18.9,125.1,14.4,250.3,65.9,30.1,18.9,71.1,346,20,0,0
NXH75-C,2.27E-03,2.29E-03,2.28E-03,2.24E-03,1.003,1.017,1.02,1.021,0.73,37,34.8,179.5,48.8,292.9,19.2,29.1,21.1,190,67.8,296.5,6.6,119.1,21.1,280,67.8,26.5,6.6,83.4,346,20,0,0
NXH75-A,2.23E-03,2.24E-03,2.23E-03,2.20E-03,1.004,1.016,1.02,1.021,0.588,76.6,64.4,196.7,13.5,292.1,21.3,40.9,58.1,201.1,30.3,296.3,8.9,130.9,58.1,291.1,30.3,26.3,8.9,81.1,346,20,0,0
NXH76-A,2.40E-03,2.49E-03,2.41E-03,2.30E-03,1.03,1.051,1.083,1.084,0.251,18,11.5,284.8,15.3,143.4,70.6,16.4,26.8,281.4,9.6,173.5,61.2,106.4,26.8,11.4,9.6,263.5,61.2,28.8,214,16,0,0
NXH76-B,2.81E-03,2.90E-03,2.82E-03,2.70E-03,1.028,1.045,1.074,1.075,0.235,19.5,7.1,288.3,9.5,145.6,78.1,18.4,22.5,286.3,4.9,184.8,66.9,108.4,22.5,16.3,4.9,274.8,66.9,23.1,214,16,0,0
NXH76-C,2.48E-03,2.56E-03,2.48E-03,2.39E-03,1.033,1.036,1.07,1.07,0.035,11.2,8.7,279.2,13.1,134.1,74.2,9.4,23.4,276.8,6,173.2,65.7,99.4,23.4,6.8,6,263.2,65.7,24.3,214,16,0,0
NXH76-D,2.48E-03,2.57E-03,2.49E-03,2.39E-03,1.032,1.041,1.074,1.074,0.13,11.9,7.3,281.7,2,176.5,82.5,10.3,22,101.9,4.1,201.9,67.6,100.3,22,191.9,4.1,291.9,67.6,22.4,214,16,0,0
NXH77-A,2.56E-03,2.63E-03,2.57E-03,2.48E-03,1.023,1.035,1.058,1.059,0.208,47.1,14.1,138.4,5.3,248.7,74.9,48.7,29.6,139.3,1.2,231.4,60.3,138.7,29.6,229.3,1.2,321.4,60.3,29.7,214,16,0,0
NXH77-B,2.61E-03,2.66E-03,2.62E-03,2.53E-03,1.015,1.034,1.049,1.051,0.401,42.8,7,133.6,7,268.5,80.1,43.5,22.8,135.2,4.1,234.9,66.8,133.5,22.8,225.2,4.1,324.9,66.8,23.2,214,16,0,0
NXH77-C,2.24E-03,2.30E-03,2.25E-03,2.17E-03,1.018,1.037,1.056,1.057,0.338,50.5,13.7,141.3,3.1,243.8,75.9,52.4,29,321.4,1.7,228.4,61,142.4,29,51.4,1.7,318.4,61,29,214,16,0,0
NXH81-A,2.03E-03,2.09E-03,2.05E-03,1.95E-03,1.023,1.048,1.072,1.074,0.349,237.7,21.8,135.8,27.4,0.8,53.8,225.2,17.8,317.1,6,65.1,71.2,315.2,17.8,47.1,6,155.1,71.2,18.8,148,34,0,0
NXH81-B,1.85E-03,1.91E-03,1.87E-03,1.79E-03,1.023,1.045,1.069,1.07,0.323,241,13.8,143.5,27.8,354.5,58.4,232.6,13,324,6.1,78.6,75.5,322.6,13,54,6.1,168.6,75.5,14.5,148,34,0,0
NXH81-C,1.88E-03,1.93E-03,1.89E-03,1.83E-03,1.023,1.031,1.055,1.055,0.144,234.6,17.8,135,27.3,353.7,56.6,225.1,12.8,316.4,6,71,75.8,315.1,12.8,46.4,6,161,75.8,14.2,148,34,0,0
NXH81-D,1.82E-03,1.88E-03,1.83E-03,1.76E-03,1.026,1.041,1.068,1.068,0.209,235.8,14,138,28.5,348.9,57.6,228.3,10.4,319.2,5,74.7,78.5,318.3,10.4,49.2,5,164.7,78.5,11.5,148,34,0,0
