Spec Name,Km,K1,K2,K3,L,F,P,Pj,T,dK1geo,iK1geo,dK2geo,iK2geo,dK3geo,iK3geo,dK1pa1,iK1pa1,dK2pa1,iK2pa1,dK3pa1,iK3pa1,dK1te1,iK1te1,dK2te1,iK2te1,dK3te1,iK3te1,f1,dF1-B,iF1-B,dL1-B,iL1-B
NXH227-C,2.27E-04,2.37E-04,2.35E-04,2.09E-04,1.009,1.125,1.136,1.152,0.855,207.4,30.9,87.4,39.8,322,34.8,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH227-D,2.40E-04,2.50E-04,2.48E-04,2.22E-04,1.009,1.12,1.13,1.146,0.85,211.6,29.1,89.3,43.9,322.1,32.2,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH228-A,1.77E-04,1.82E-04,1.80E-04,1.69E-04,1.008,1.066,1.075,1.082,0.775,208.6,20.2,95.1,47.2,313.9,35.8,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH228-B,1.55E-04,1.60E-04,1.58E-04,1.47E-04,1.01,1.078,1.089,1.098,0.77,209.3,16.5,98.1,50.6,311.1,34.6,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH235-A,3.74E-04,3.96E-04,3.81E-04,3.44E-04,1.04,1.106,1.15,1.155,0.441,226,10.3,320.7,24.6,115,63.1,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH235-B,3.29E-04,3.49E-04,3.36E-04,3.02E-04,1.039,1.114,1.158,1.164,0.478,223.9,10.3,319.1,26.4,114.5,61.4,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH235-C,3.14E-04,3.35E-04,3.21E-04,2.88E-04,1.043,1.114,1.162,1.167,0.439,224.7,8.1,318.3,23.9,117.3,64.6,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH235-D,3.37E-04,3.58E-04,3.44E-04,3.09E-04,1.041,1.111,1.156,1.162,0.451,223.1,9.8,318.2,27.5,115.3,60.6,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH236-A,2.55E-04,2.69E-04,2.60E-04,2.37E-04,1.036,1.095,1.134,1.139,0.442,237,5.1,329.8,28.2,137.6,61.3,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH236-B,2.66E-04,2.80E-04,2.71E-04,2.47E-04,1.031,1.1,1.134,1.14,0.511,233,2.3,324.6,34.2,139.6,55.7,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH236-C,2.26E-04,2.38E-04,2.30E-04,2.10E-04,1.035,1.097,1.135,1.14,0.455,235.8,6,329.7,33,136.8,56.3,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH237-A,2.76E-04,2.93E-04,2.86E-04,2.51E-04,1.026,1.14,1.17,1.183,0.672,122.2,19.2,31.3,2.6,293.7,70.6,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH237-B,2.84E-04,3.02E-04,2.93E-04,2.56E-04,1.029,1.144,1.177,1.19,0.653,121.2,20.3,29.8,3.7,289.9,69.3,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH237-C,2.98E-04,3.17E-04,3.09E-04,2.70E-04,1.025,1.145,1.173,1.188,0.695,125.3,18.7,33.8,4.6,290.5,70.7,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH237-D,2.90E-04,3.07E-04,3.00E-04,2.63E-04,1.025,1.141,1.169,1.183,0.686,124.2,16.6,33.3,2.9,293.6,73.2,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH238-A,3.42E-04,3.58E-04,3.55E-04,3.14E-04,1.009,1.13,1.14,1.158,0.858,209.9,19.9,311.8,29.5,90.9,53.2,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH238-B,3.53E-04,3.69E-04,3.66E-04,3.24E-04,1.008,1.13,1.139,1.157,0.878,210.9,17.9,311.4,29.3,93.8,54.7,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH238-C,3.88E-04,4.06E-04,4.03E-04,3.56E-04,1.008,1.133,1.142,1.161,0.879,220.3,25.8,324.6,27.2,93.8,50.9,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH239-A,3.17E-04,3.33E-04,3.27E-04,2.92E-04,1.016,1.123,1.14,1.154,0.765,262.5,39.1,13.5,23.8,126.5,41.5,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH239-B,3.30E-04,3.44E-04,3.42E-04,3.04E-04,1.008,1.123,1.131,1.148,0.878,257.5,34.9,7.5,26.2,125.6,43.7,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH240-A,3.48E-04,3.65E-04,3.60E-04,3.18E-04,1.014,1.132,1.147,1.163,0.8,233.8,12,330.1,27.6,122.6,59.5,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH240-B,3.51E-04,3.68E-04,3.63E-04,3.21E-04,1.014,1.133,1.149,1.165,0.795,241.9,15.6,340.8,28.8,126.9,56.5,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH240-C,3.58E-04,3.75E-04,3.70E-04,3.27E-04,1.014,1.132,1.148,1.164,0.801,234.6,10,330.8,31.7,129.3,56.4,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH241-A,3.93E-04,4.12E-04,4.09E-04,3.59E-04,1.008,1.138,1.147,1.166,0.888,27.3,1.7,296.2,33.5,119.8,56.5,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH241-B,3.31E-04,3.46E-04,3.44E-04,3.03E-04,1.007,1.132,1.141,1.159,0.89,212.8,6.3,306.8,32.4,113,56.8,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
NXH241-C,3.51E-04,3.67E-04,3.65E-04,3.21E-04,1.005,1.137,1.143,1.164,0.926,213.6,3.9,306.2,33.8,117.9,55.9,74.5,77.3,198.2,7.1,289.5,10.4,164.5,77.3,288.2,7.1,19.5,10.4,79.6,112,55,0,0
